test.subset,train.subsets,learner_id,task_id,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro,lr,learner_name
balanced,other,lr0.5conv_CE_weighted,MNIST_seed2_prop0.01,0.856639683246613,0.212751887556928,0.912834525108337,0.116730945928427,0.5,conv_CE_weighted
unbalanced,other,lr0.5conv_CE_weighted,MNIST_seed2_prop0.01,0.771777451038361,0.257956656328025,0.790862123171488,0.246795768424843,0.5,conv_CE_weighted
balanced,same,lr0.5conv_CE_weighted,MNIST_seed2_prop0.01,0.929441849390666,0.115036849366084,0.955301026503245,0.0708453236283088,0.5,conv_CE_weighted
unbalanced,same,lr0.5conv_CE_weighted,MNIST_seed2_prop0.01,0.684805850187937,0.270873351823956,0.748795847098033,0.246129682179401,0.5,conv_CE_weighted
balanced,other,lr1conv_CE_unweighted,MNIST_seed2_prop0.01,0.580341180165609,0.0624648284687761,0.66758002837499,0.145074060174808,1,conv_CE_unweighted
unbalanced,other,lr1conv_CE_unweighted,MNIST_seed2_prop0.01,0.633116741975149,0.114231452882702,0.683353881041209,0.178415739224056,1,conv_CE_unweighted
balanced,same,lr1conv_CE_unweighted,MNIST_seed2_prop0.01,0.655907511711121,0.0140810484784254,0.802147706349691,0.0426309589396389,1,conv_CE_unweighted
unbalanced,same,lr1conv_CE_unweighted,MNIST_seed2_prop0.01,0.796462814013163,0.0382499647582994,0.834534525871277,0.036807594605304,1,conv_CE_unweighted
balanced,other,lr1conv_Macro_AUM,MNIST_seed2_prop0.01,0.53830615679423,0.0315640439999513,0.801585535208384,0.258508095037861,1,conv_Macro_AUM
unbalanced,other,lr1conv_Macro_AUM,MNIST_seed2_prop0.01,0.523018598556519,0.0156701155690066,0.833215594291687,0.217464157212133,1,conv_Macro_AUM
balanced,same,lr1conv_Macro_AUM,MNIST_seed2_prop0.01,0.53018194437027,0.0286972675642527,0.746258139610291,0.230031695326181,1,conv_Macro_AUM
unbalanced,same,lr1conv_Macro_AUM,MNIST_seed2_prop0.01,0.590248843034109,0.0340220162430343,0.96126397450765,0.0283912184653484,1,conv_Macro_AUM
balanced,other,lr1conv_Micro_AUM,MNIST_seed2_prop0.01,0.926571230093638,0.0291564395909236,0.95111890633901,0.0216138122339928,1,conv_Micro_AUM
unbalanced,other,lr1conv_Micro_AUM,MNIST_seed2_prop0.01,0.983155488967896,0.00414694598085773,0.98433663447698,0.0026512491536851,1,conv_Micro_AUM
balanced,same,lr1conv_Micro_AUM,MNIST_seed2_prop0.01,0.950352946917216,0.0548479764573186,0.986569186051687,0.000643613179749051,1,conv_Micro_AUM
unbalanced,same,lr1conv_Micro_AUM,MNIST_seed2_prop0.01,0.945197065671285,0.0476053507006396,0.932395299275716,0.0281051331422912,1,conv_Micro_AUM
balanced,other,lr1conv_CE_weighted,MNIST_seed2_prop0.01,0.775299290815989,0.0784139126561252,0.857103109359741,0.0285630411152162,1,conv_CE_weighted
unbalanced,other,lr1conv_CE_weighted,MNIST_seed2_prop0.01,0.705454727013906,0.138332736238326,0.732926766077677,0.199927250184919,1,conv_CE_weighted
balanced,same,lr1conv_CE_weighted,MNIST_seed2_prop0.01,0.648070315519969,0.0962707832153407,0.80611660083135,0.108393147253095,1,conv_CE_weighted
unbalanced,same,lr1conv_CE_weighted,MNIST_seed2_prop0.01,0.634751896063487,0.101402006476917,0.696603973706563,0.0916693132803761,1,conv_CE_weighted
balanced,other,lr0.1conv_CE_unweighted,MNIST_seed1_prop0.1,0.995684762795766,2.27978481257406e-05,0.996026635169983,0.000125809352348596,0.1,conv_CE_unweighted
unbalanced,other,lr0.1conv_CE_unweighted,MNIST_seed1_prop0.1,0.996163189411163,0.000298792044070405,0.996184428532918,0.000311260730207928,0.1,conv_CE_unweighted
balanced,same,lr0.1conv_CE_unweighted,MNIST_seed1_prop0.1,0.996841371059418,0.000563626440753096,0.996506094932556,0.000610504574171346,0.1,conv_CE_unweighted
unbalanced,same,lr0.1conv_CE_unweighted,MNIST_seed1_prop0.1,0.996514181296031,0.000747988113902541,0.996370633443197,0.000780442703053514,0.1,conv_CE_unweighted
balanced,other,lr0.1conv_Macro_AUM,MNIST_seed1_prop0.1,0.561857203642527,0.0147413087727457,0.909999748071035,0.0136500773147901,0.1,conv_Macro_AUM
unbalanced,other,lr0.1conv_Macro_AUM,MNIST_seed1_prop0.1,0.576044936974843,0.00621799673435977,0.898464560508728,0.0313077649138588,0.1,conv_Macro_AUM
balanced,same,lr0.1conv_Macro_AUM,MNIST_seed1_prop0.1,0.566407263278961,0.012507194088063,0.929685870806376,0.0134092613933902,0.1,conv_Macro_AUM
unbalanced,same,lr0.1conv_Macro_AUM,MNIST_seed1_prop0.1,0.556508660316467,0.0581341244167653,0.914275546868642,0.0126061732309679,0.1,conv_Macro_AUM
balanced,other,lr0.1conv_Micro_AUM,MNIST_seed1_prop0.1,0.911266068617503,0.0159382298338617,0.924669126669566,0.00962622386767084,0.1,conv_Micro_AUM
unbalanced,other,lr0.1conv_Micro_AUM,MNIST_seed1_prop0.1,0.933768014113108,0.0119562813385481,0.93570480744044,0.00655037680245097,0.1,conv_Micro_AUM
balanced,same,lr0.1conv_Micro_AUM,MNIST_seed1_prop0.1,0.938450078169505,0.00903109617891626,0.93831326564153,0.00970576191863818,0.1,conv_Micro_AUM
unbalanced,same,lr0.1conv_Micro_AUM,MNIST_seed1_prop0.1,0.932697097460429,0.0160562237993343,0.931095560391744,0.0115134293184566,0.1,conv_Micro_AUM
balanced,other,lr0.1conv_CE_weighted,MNIST_seed1_prop0.1,0.996587038040161,0.000711707540637756,0.996365487575531,0.000747338303250911,0.1,conv_CE_weighted
unbalanced,other,lr0.1conv_CE_weighted,MNIST_seed1_prop0.1,0.99638698498408,0.000606229489949479,0.996380527814229,0.000572729383324637,0.1,conv_CE_weighted
balanced,same,lr0.1conv_CE_weighted,MNIST_seed1_prop0.1,0.996699551741282,0.000551501052762077,0.996443231900533,0.000571611170386469,0.1,conv_CE_weighted
unbalanced,same,lr0.1conv_CE_weighted,MNIST_seed1_prop0.1,0.996614734331767,1.90190504536542e-05,0.996510803699493,9.67988790210805e-05,0.1,conv_CE_weighted
balanced,other,lr0.5conv_CE_unweighted,MNIST_seed1_prop0.1,0.893381416797638,0.105034524411066,0.921147088209788,0.0683053012126216,0.5,conv_CE_unweighted
unbalanced,other,lr0.5conv_CE_unweighted,MNIST_seed1_prop0.1,0.731053670247396,0.259081138323356,0.781532426675161,0.254769932879569,0.5,conv_CE_unweighted
balanced,same,lr0.5conv_CE_unweighted,MNIST_seed1_prop0.1,0.669676542282105,0.272889061022269,0.696061104536057,0.256766715697094,0.5,conv_CE_unweighted
unbalanced,same,lr0.5conv_CE_unweighted,MNIST_seed1_prop0.1,0.683006227016449,0.113546681394245,0.680211901664734,0.160618618585808,0.5,conv_CE_unweighted
